"utt_id","yt_id","chunk_id","audio_path","video_normal_path","video_bbox_path","video_cropped_path","google_txt","whisper_txt","split","poi"
"h9OrOkhODmY_chunk_009","h9OrOkhODmY","chunk_009","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_009.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_009.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_009_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_009.mp4","আপনি চিন্তা করবেন কিভাবে আমি আমার সেই","আপনি চিন্তা করবেন, কিভাবে আমি আমার সেইম ম্যাসিয়ায় করেন।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_034","h9OrOkhODmY","chunk_034","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_034.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_034.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_034_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_034.mp4","","মানান তালে কিন্তু ওই অ্যাওয়্যারনেসের মানুষগুলোয়ে।","test","Khalid Farhan"
"h9OrOkhODmY_chunk_008","h9OrOkhODmY","chunk_008","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_008.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_008.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_008_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_008.mp4","সে জিনিস যদি আপনি আবার করেন এবং","সেম জিনিস যদি আপনি আবার করেন এবং এইবারে করেন।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_036","h9OrOkhODmY","chunk_036","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_036.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_036.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_036_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_036.mp4","একটা খুব ইন্টারেস্টিং সেটা হলো","বানা বেনি যেগুলায় কর্ল টু অ্যাকশন থাকে।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_022","h9OrOkhODmY","chunk_022","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_022.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_022.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_022_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_022.mp4","ফেসবুক ব্যাপারটা বুঝতে পারছে যে আমাদের","ফেইসবুক ব্যাপারটা বুঝতে পারছে যে- আমাদের ফেইসবুকে।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_023","h9OrOkhODmY","chunk_023","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_023.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_023.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_023_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_023.mp4","এই জিনিস যদি এমন হয় যে এটা এমন কোথা থেকে","এই জিনিস যদি এমন হয়ে যে এটা এমন কোথা থেকে কুজান্ত নেয়।","val","Khalid Farhan"
"h9OrOkhODmY_chunk_033","h9OrOkhODmY","chunk_033","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_033.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_033.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_033_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_033.mp4","কন্টাক্ট না বানান সব সময় মিড লেভেল অথবা লোয়ার লে","সবসূয়ে মিড লেভেল অথবা লোয়ার লেভেলের কম।","val","Khalid Farhan"
"h9OrOkhODmY_chunk_027","h9OrOkhODmY","chunk_027","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_027.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_027.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_027_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_027.mp4","পোস্ট করবেন 35% চান্স এই পোস্টটা এমন","পোস্ট করবেন, পয় তিরিশ পার্সেন্ট চান্স এই পোস্টা এমন মানুষের পোস্টা।","test","Khalid Farhan"
"h9OrOkhODmY_chunk_026","h9OrOkhODmY","chunk_026","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_026.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_026.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_026_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_026.mp4","মার্কেটের আপনার এই জিনিসটা উল্টা দিক থেকে চিন্তা করতে","আপনারি জিনিস্তা উল্লাটা দিক থেকে চিন্তা করতে হবে।","val","Khalid Farhan"
"h9OrOkhODmY_chunk_032","h9OrOkhODmY","chunk_032","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_032.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_032.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_032_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_032.mp4","লাস্টে যাই একশন হয় আপনি যদি অ্যারন","সেই হয়ে লাস্ট স্টেজে অ্যাকশন হয়ে।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_024","h9OrOkhODmY","chunk_024","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_024.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_024.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_024_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_024.mp4","যে জিনিসটা আসলে ফলো করে না তাতেও ফেসবুক এর কোন সমস্যা নাই আপনার নিউজফিডে","যে জিনিস সে অসলে ফলো করে না, তাতেও ফেসবুগের কোন সমস্যা নেই, আপনার নিউজ ফিডো যদি অ্যান্ড করে নিয়ে করে নিয়ে করে না","train","Khalid Farhan"
"h9OrOkhODmY_chunk_019","h9OrOkhODmY","chunk_019","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_019.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_019.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_019_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_019.mp4","মানুষগুলো কখনোই আপনাকে ফলো করে নাই কখনোই আপনাকে লাইক করেনি কখনোই আপনার আগের কোন পোস্টের সাথে","এই মানুষগুলা কখনোই আপনাকে ফলো করে নেই, কখনোই আপনাকে লাইক করে নেই, কখনোই আপনার আগের কোন পোস্টের সাথে ইন্টারন্ড কর�","train","Khalid Farhan"
